,SV%_unknown_inj,SV%_unknown_inj,SV%_unknown_inj,GA_unknown_inj,GA_unknown_inj,GA_unknown_inj,GAA_unknown_inj,GAA_unknown_inj,GAA_unknown_inj
,mean,min,max,mean,min,max,mean,min,max
TOI,,,,,,,,,
0.13,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
6.97,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
7.39,0.875,0.875,0.875,1,1,1,3.8668098818391687,3.8668098818391687,3.8668098818391687
11.45,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
15.98,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
18.65,0.9,0.9,0.9,1,1,1,3.0,3.0,3.0
19.5,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0
26.18,0.8125,0.8125,0.8125,3,3,3,5.88235294117647,5.88235294117647,5.88235294117647
32.42,0.7333333333333333,0.7333333333333333,0.7333333333333333,4,4,4,6.0,6.0,6.0
46.89,0.8275862068965517,0.8275862068965517,0.8275862068965517,5,5,5,5.09049773755944,5.09049773755944,5.09049773755944
47.1,0.8518518518518519,0.8518518518518519,0.8518518518518519,4,4,4,4.096728307256954,4.096728307256954,4.096728307256954
50.13,0.9166666666666666,0.9166666666666666,0.9166666666666666,3,3,3,3.0646992054500934,3.0646992054500934,3.0646992054500934
50.17,0.9642857142857143,0.9642857142857143,0.9642857142857143,1,1,1,1.0,1.0,1.0
53.12,0.8974358974358975,0.8974358974358975,0.8974358974358975,4,4,4,4.0472175379426645,4.0472175379426645,4.0472175379426645
58.36,0.88,0.88,0.88,3,3,3,3.0638297872340425,3.0638297872340425,3.0638297872340425
74.66,0.9285714285714286,0.9285714285714286,0.9285714285714286,2,2,2,1.528337932497759,1.528337932497759,1.528337932497759
81.36,0.9272727272727272,0.9272727272727272,0.9272727272727272,4,4,4,1.989225031081641,1.989225031081641,1.989225031081641
99.27,0.9444444444444444,0.9444444444444444,0.9444444444444444,3,3,3,1.513665031534264,1.513665031534264,1.513665031534264
111.02,0.9491525423728814,0.9491525423728814,0.9491525423728814,3,3,3,1.4790468364831553,1.4790468364831553,1.4790468364831553
117.77,0.9,0.9,0.9,7,7,7,3.159874608149678,3.159874608149678,3.159874608149678
147.04,0.8645833333333334,0.8645833333333334,0.8645833333333334,13,13,13,4.347018391232463,4.347018391232463,4.347018391232463
152.02,0.8390804597701149,0.8390804597701149,0.8390804597701149,14,14,14,4.730173627405862,4.730173627405862,4.730173627405862
168.49,0.8695652173913043,0.8695652173913043,0.8695652173913043,12,12,12,3.423951811049128,3.423951811049128,3.423951811049128
211.21,0.8723404255319149,0.8723404255319149,0.8723404255319149,18,18,18,3.9353819992717036,3.9353819992717036,3.9353819992717036
244.84,0.9197530864197531,0.9197530864197531,0.9197530864197531,13,13,13,2.642425611202376,2.642425611202376,2.642425611202376
248.43,0.8758620689655172,0.8758620689655172,0.8758620689655172,18,18,18,3.4491935913127754,3.4491935913127754,3.4491935913127754
261.8,0.9281045751633987,0.9281045751633987,0.9281045751633987,11,11,11,1.9852609414949616,1.9852609414949616,1.9852609414949616
267.36,0.8580645161290322,0.8580645161290322,0.8580645161290322,22,22,22,3.9685323445403653,3.9685323445403653,3.9685323445403653
282.43,0.9281767955801105,0.9281767955801105,0.9281767955801105,13,13,13,2.074008420119838,2.074008420119838,2.074008420119838
444.72,0.8892988929889298,0.8892988929889298,0.8892988929889298,30,30,30,3.4167483944444035,3.4167483944444035,3.4167483944444035
465.69,0.8881118881118881,0.8881118881118881,0.8881118881118881,32,32,32,3.537757577618552,3.537757577618552,3.537757577618552
561.92,0.8867403314917127,0.8867403314917127,0.8867403314917127,41,41,41,3.4566744730677534,3.4566744730677534,3.4566744730677534
646.87,0.9052369077306733,0.9052369077306733,0.9052369077306733,38,38,38,2.8841896649869123,2.8841896649869123,2.8841896649869123
866.41,0.902135231316726,0.902135231316726,0.902135231316726,55,55,55,3.1338039314995765,3.1338039314995765,3.1338039314995765
900.25,0.9172077922077922,0.9172077922077922,0.9172077922077922,51,51,51,2.6968668752478737,2.6968668752478737,2.6968668752478737
942.67,0.9305816135084428,0.9305816135084428,0.9305816135084428,37,37,37,1.9990094997973975,1.9990094997973975,1.9990094997973975
950.1,0.9234527687296417,0.9234527687296417,0.9234527687296417,47,47,47,2.350163205778114,2.350163205778114,2.350163205778114
967.33,0.9264957264957265,0.9264957264957265,0.9264957264957265,43,43,43,2.0402245828610055,2.0402245828610055,2.0402245828610055
1072.8,0.9028985507246376,0.9028985507246376,0.9028985507246376,67,67,67,2.9165659008465035,2.9165659008465035,2.9165659008465035
1127.43,0.9125188536953243,0.9125188536953243,0.9125188536953243,58,58,58,2.3851136013159246,2.3851136013159246,2.3851136013159246
1242.1,0.9152542372881356,0.9152542372881356,0.9152542372881356,75,75,75,2.8028942478381964,2.8028942478381964,2.8028942478381964
1352.74,0.8920454545454546,0.8920454545454546,0.8920454545454546,95,95,95,3.29765692797223,3.29765692797223,3.29765692797223
1644.77,0.9093988145639289,0.9093988145639289,0.9093988145639289,107,107,107,3.020821079872956,3.020821079872956,3.020821079872956
1787.11,0.9144385026737968,0.9144385026737968,0.9144385026737968,96,96,96,2.478041085576991,2.478041085576991,2.478041085576991
2200.09,0.9008207934336525,0.9008207934336525,0.9008207934336525,145,145,145,3.0446016646155103,3.0446016646155103,3.0446016646155103
2209.61,0.9168918918918919,0.9168918918918919,0.9168918918918919,123,123,123,2.606607172290346,2.606607172290346,2.606607172290346
2223.35,0.9041752224503764,0.9041752224503764,0.9041752224503764,140,140,140,2.9784417549167572,2.9784417549167572,2.9784417549167572
2279.98,0.9071246819338422,0.9071246819338422,0.9071246819338422,146,146,146,2.887737554323608,2.887737554323608,2.887737554323608
2288.86,0.9132828630419821,0.9132828630419821,0.9132828630419821,126,126,126,2.68725155067925,2.68725155067925,2.68725155067925
2559.68,0.9023285899094438,0.9023285899094438,0.9023285899094438,151,151,151,2.8516122940371083,2.8516122940371083,2.8516122940371083
2612.57,0.9151343705799151,0.9151343705799151,0.9151343705799151,120,120,120,2.1763662743833407,2.1763662743833407,2.1763662743833407
2686.76,0.9084783829309376,0.9084783829309376,0.9084783829309376,163,163,163,2.816144358592915,2.816144358592915,2.816144358592915
2692.83,0.9148148148148149,0.9148148148148149,0.9148148148148149,138,138,138,2.4222448671129317,2.4222448671129317,2.4222448671129317
2874.2,0.9248520710059172,0.9248520710059172,0.9248520710059172,127,127,127,2.070558398623232,2.070558398623232,2.070558398623232
2939.53,0.9053185271770894,0.9053185271770894,0.9053185271770894,162,162,162,2.6866290452608297,2.6866290452608297,2.6866290452608297
3001.43,0.9118840579710145,0.9118840579710145,0.9118840579710145,152,152,152,2.3997789677266566,2.3997789677266566,2.3997789677266566
3025.38,0.9234527687296417,0.9234527687296417,0.9234527687296417,141,141,141,2.2511974454497072,2.2511974454497072,2.2511974454497072
3417.26,0.9192253188474256,0.9192253188474256,0.9192253188474256,171,171,171,2.3893805309734515,2.3893805309734515,2.3893805309734515
